标题,链接,大致预览
明天再跌2毛破位离场，不耗着了没意思,"https://guba.eastmoney.com/news,600900,1688082874.html",明天再跌2毛破位离场，不耗着了没意思
太多人因为ai和博主推荐进这个股了，估计还要跌，就是可怜了我这个拿了那么多年的。,"https://guba.eastmoney.com/news,600900,1688060573.html",太多人因为ai和博主推荐进这个股了，估计还要跌，就是可怜了我这个拿了那么多年的。
这个股不就是吃股息的股吗？,"https://guba.eastmoney.com/news,600900,1687963010.html",这个股不就是吃股息的股吗？
这个股是真狗啊,"https://guba.eastmoney.com/news,600900,1687767952.html",这个股是真狗啊
都是套牢盘，天天利好有用吗？,"https://guba.eastmoney.com/news,600900,1688065416.html",都是套牢盘，天天利好有用吗？
沪市主板公司业绩说明会“培育新动能”主题周活动启动,"https://guba.eastmoney.com/news,600900,1687543010.html",沪市主板公司业绩说明会“培育新动能”主题周活动启动
油已经拿起来了哈，明天大盘调整你出来表演呢,"https://guba.eastmoney.com/news,600900,1688071838.html",油已经拿起来了哈，明天大盘调整你出来表演呢
从三峡能源年报分析，投资风力发电，太阳能都是亏损的买卖。意味着什么？意味着电力有,"https://guba.eastmoney.com/news,600900,1688057462.html",从三峡能源年报分析，投资风力发电，太阳能都是亏损的买卖。意味着什么？意味着电力有
人生第一股，昨天建仓，你就来杯绿茶，我是真火！,"https://guba.eastmoney.com/news,600900,1687718427.html",人生第一股，昨天建仓，你就来杯绿茶，我是真火！
绿肥红瘦的家伙！,"https://guba.eastmoney.com/news,600900,1688031403.html",绿肥红瘦的家伙！
挂了26.83差一分钱成交,"https://guba.eastmoney.com/news,600900,1688006099.html",挂了26.83差一分钱成交
哎！说你什么好呢，我就是一个老登，一个绿意萦绕的老登。处女股你该红不红，持股一天,"https://guba.eastmoney.com/news,600900,1688024336.html",哎！说你什么好呢，我就是一个老登，一个绿意萦绕的老登。处女股你该红不红，持股一天
长江电力吹牛不好吹啊！！！来水偏枯，电价下行。讲故事又没什么好吹的，只能说自己是,"https://guba.eastmoney.com/news,600900,1688015682.html",长江电力吹牛不好吹啊！！！来水偏枯，电价下行。讲故事又没什么好吹的，只能说自己是
有人已看到15元了，看来我不是孤军奋战，对于长电，我继续下调预期，随着可控核聚变,"https://guba.eastmoney.com/news,600900,1687903064.html",有人已看到15元了，看来我不是孤军奋战，对于长电，我继续下调预期，随着可控核聚变
差不多了吧，都跌成狗了,"https://guba.eastmoney.com/news,600900,1687992803.html",差不多了吧，都跌成狗了
韭菜跌倒，量化吃饱,"https://guba.eastmoney.com/news,600900,1687994878.html",韭菜跌倒，量化吃饱
